length,distance,proportion
-1,18,0.670315
-1,17,0.267003
-1,19,0.033753
-1,16,0.026674
-1,15,0.002094
-1,14,0.000154
-1,13,7e-06
1,1,1.0
2,2,0.833518
2,1,0.11087
2,0,0.055612
3,3,0.667147
3,2,0.203665
3,1,0.123
3,0,0.006188
4,4,0.53702
4,3,0.246917
4,2,0.174716
4,1,0.034525
4,0,0.006822
5,5,0.432073
5,4,0.267925
5,3,0.207196
5,2,0.068368
5,1,0.022543
5,0,0.001895
6,6,0.345822
6,5,0.271603
6,4,0.23042
6,3,0.099726
6,2,0.041915
6,1,0.00918
6,0,0.001334
7,7,0.276777
7,6,0.262996
7,5,0.24382
7,4,0.12867
7,3,0.061999
7,2,0.020142
7,1,0.005096
7,0,0.0005
8,6,0.249783
8,7,0.246521
8,8,0.221042
8,5,0.153077
8,4,0.083108
8,3,0.032745
8,2,0.010953
8,1,0.002482
8,0,0.000289
9,7,0.246742
9,8,0.225779
9,9,0.177296
9,6,0.172634
9,5,0.104304
9,4,0.047568
9,3,0.018452
9,2,0.005786
9,1,0.001299
9,0,0.00014
10,8,0.239887
10,9,0.203231
10,7,0.186244
10,10,0.141264
10,6,0.123639
10,5,0.063476
10,4,0.028112
10,3,0.010196
10,2,0.003153
10,1,0.000717
10,0,8.1e-05
11,9,0.227955
11,8,0.195016
11,10,0.181217
11,7,0.139418
11,11,0.11274
11,6,0.079905
11,5,0.03969
11,4,0.016236
11,3,0.005821
11,2,0.001639
11,1,0.000331
11,0,3.2e-05
12,10,0.21352
12,9,0.197914
12,11,0.159892
12,8,0.152672
12,7,0.096616
12,12,0.090114
12,6,0.052134
12,5,0.023615
12,4,0.009273
12,3,0.003192
12,2,0.000838
12,1,0.000198
12,0,2.2e-05
13,10,0.197732
13,11,0.197278
13,9,0.1639
13,12,0.139123
13,8,0.111005
13,13,0.071579
13,7,0.064678
13,6,0.03242
13,5,0.014383
13,4,0.005518
13,3,0.001773
13,2,0.000487
13,1,0.000115
13,0,9e-06
14,11,0.193437
14,12,0.181676
14,10,0.170992
14,9,0.124034
14,13,0.120281
14,8,0.077966
14,14,0.056893
14,7,0.042093
14,6,0.01997
14,5,0.008304
14,4,0.003082
14,3,0.000943
14,2,0.00026
14,1,6.4e-05
14,0,5e-06
15,12,0.186568
15,11,0.174809
15,13,0.163969
15,10,0.135541
15,14,0.103335
15,9,0.090971
15,8,0.052844
15,15,0.045279
15,7,0.0272
15,6,0.012159
15,5,0.004885
15,4,0.001737
15,3,0.000534
15,2,0.000133
15,1,3e-05
15,0,6e-06
16,13,0.177607
16,12,0.17481
16,14,0.148427
16,11,0.144192
16,10,0.102979
